Country	Year	Sex	Age	Px_Low	Px_Medium	Px_High	Px_All	Dx_Low	Dx_Medium	Dx_High	Dx_All	mx_Low	mx_Medium	mx_High	mx_All	ax_Low	ax_Medium	ax_High	ax_All	qx_Low	qx_Medium	qx_High	qx_All	lx_Low	lx_Medium	lx_High	lx_All	Lx_Low	Lx_Medium	Lx_High	Lx_All	ex_Low	ex_Medium	ex_High	ex_All
United	1990	Females	30-34	1234230	7350940	2520580	11105750	2053	6093	1105	9250	0.00166	0.00083	0.00044	0.00083	2.57	2.6	2.69	2.61	0.00828	0.00414	0.00219	0.00416	1	1	1	1	4.9799	4.9901	4.9949	4.99	49.53	49.85	51.52	50.34
United	1990	Females	35-39	1074071	6468077	2496496	10038644	2318	7426	1749	11494	0.00216	0.00115	0.0007	0.00114	2.58	2.59	2.64	2.6	0.01073	0.00573	0.0035	0.00571	0.9917	0.9959	0.9978	0.9958	4.9329	4.9656	4.9808	4.9656	44.93	45.05	46.63	45.54
United	1990	Females	40-44	1066173	5732170	2129909	8928252	2992	9361	2257	14610	0.00281	0.00163	0.00106	0.00164	2.65	2.6	2.57	2.6	0.01394	0.00813	0.00529	0.00815	0.9811	0.9902	0.9943	0.9902	4.8732	4.9315	4.9588	4.9315	40.39	40.29	41.78	40.79
United	1990	Females	45-49	1153769	4570321	1391039	7115129	4491	11798	2473	18762	0.00389	0.00258	0.00178	0.00264	2.68	2.61	2.54	2.62	0.01929	0.01283	0.00885	0.0131	0.9674	0.9821	0.9891	0.9821	4.7937	4.8804	4.9237	4.8798	35.92	35.6	36.99	36.1
United	1990	Females	50-54	1237461	3754016	908448	5899925	6935	15590	2674	25198	0.0056	0.00415	0.00294	0.00427	2.7	2.64	2.58	2.65	0.02767	0.02056	0.01461	0.02114	0.9487	0.9695	0.9803	0.9692	4.6834	4.8006	4.8669	4.798	31.57	31.03	32.3	31.54
United	1990	Females	55-59	1400226	3374044	686236	5460506	11313	22560	3471	37343	0.00808	0.00669	0.00506	0.00684	2.74	2.69	2.64	2.7	0.03967	0.03292	0.02499	0.03366	0.9225	0.9496	0.966	0.9487	4.5297	4.6756	4.7729	4.6701	27.39	26.63	27.74	27.17
United	1990	Females	60-64	1678662	3362633	621910	5663205	19952	35828	4940	60720	0.01189	0.01065	0.00794	0.01072	2.7	2.67	2.63	2.68	0.05785	0.05198	0.03898	0.05231	0.8859	0.9183	0.9418	0.9168	4.3116	4.4804	4.6224	4.4726	23.41	22.44	23.38	23.02
United	1990	Females	65-69	1848890	3242362	502856	5594108	30463	51878	6648	88989	0.01648	0.016	0.01322	0.01591	2.66	2.6	2.6	2.62	0.07932	0.07705	0.06407	0.07664	0.8346	0.8706	0.9051	0.8688	4.0182	4.1922	4.3866	4.1859	19.69	18.52	19.22	19.14
United	1990	Females	70-74	1801630	2419159	389433	4610222	43016	61697	8208	112921	0.02388	0.0255	0.02108	0.02449	2.65	2.57	2.62	2.6	0.11303	0.12006	0.10034	0.11567	0.7684	0.8035	0.8471	0.8022	3.6377	3.7827	4.0332	3.7886	16.15	14.85	15.36	15.51
United	1990	Females	75-79	1717331	1693963	312686	3723980	60564	71400	11297	143261	0.03527	0.04215	0.03613	0.03847	2.6	2.54	2.63	2.57	0.16259	0.19093	0.16642	0.17592	0.6816	0.707	0.7621	0.7095	3.1423	3.2027	3.5105	3.2443	12.87	11.53	11.78	12.2
