"Country"	"Period"	"Sex"	"Education"	"AgeGrp"	"mx"	"ax"	"qx"	"px"	"lx"	"dx"	"Lx"	"Tx"	"ex"
"Denmark"	"1991-1995"	"Female"	"Middle"	"30-34"	0.000495033984083007	2.5	0.00247211047367285	0.997527889526327	1e+05	247.21104736728	499381.972381582	4987991.27018325	49.8799127018325
"Denmark"	"1991-1995"	"Female"	"Middle"	"35-39"	0.000881645458829214	2.5	0.00439853242879268	0.995601467571207	99752.7889526327	438.765877070662	497667.030070487	4488609.29780167	44.9973313521396
"Denmark"	"1991-1995"	"Female"	"Middle"	"40-44"	0.00163783269583278	2.5	0.00815576901627759	0.991844230983722	99314.0230755621	809.982232281545	494545.159797106	3990942.26773118	40.1850830742675
"Denmark"	"1991-1995"	"Female"	"Middle"	"45-49"	0.00249469287891641	2.5	0.0123961529086144	0.987603847091386	98504.0408432805	1221.0711524097	489467.526335378	3496397.10793407	35.4949612016102
"Denmark"	"1991-1995"	"Female"	"Middle"	"50-54"	0.00405163451356729	2.5	0.0200550334040599	0.97994496659594	97282.9696908708	1951.01320679656	481537.315437363	3006929.58159869	30.9091055829566
"Denmark"	"1991-1995"	"Female"	"Middle"	"55-59"	0.00639391465428274	2.5	0.0314665865984829	0.968533413401517	95331.9564840743	2999.77126430892	469160.354259599	2525392.26616133	26.4905112545677
"Denmark"	"1991-1995"	"Female"	"Middle"	"60-64"	0.0106729971007619	2.5	0.0519780807411751	0.948021919258825	92332.1852197653	4799.24977836211	449662.801652921	2056231.91190173	22.2699366099434
"Denmark"	"1991-1995"	"Female"	"Middle"	"65-69"	0.0168857772153876	2.5	0.0810091307416487	0.918990869258351	87532.9354414032	7090.96701137294	419937.259678584	1606569.11024881	18.3538813378912
"Denmark"	"1991-1995"	"Female"	"Middle"	"70-74"	0.0263157867739044	2.5	0.123456778239652	0.876543221760348	80441.9684300303	9931.10625762737	377382.076506083	1186631.85057023	14.7514024548315
"Denmark"	"1991-1995"	"Female"	"Middle"	"75-79"	0.042033451137947	2.5	0.190182218244969	0.809817781755031	70510.8621724029	13409.9121783129	319029.530416232	809249.774064143	11.4769519068634
"Denmark"	"1991-1995"	"Female"	"Middle"	"80-84"	0.0717614525011513	2.5	0.304227707120586	0.695772292879414	57100.94999409	17371.6910911093	242075.522242677	490220.243647911	8.58515039940051
"Denmark"	"1991-1995"	"Female"	"Middle"	"85-89"	0.12582920767035	2.5	0.478593451390149	0.521406548609851	39729.2589029808	19014.1631395504	151110.886666028	248144.721405234	6.24589353683153
"Denmark"	"1991-1995"	"Female"	"Middle"	"90+"	0.213483222827435	4.68420884206123	1	0	20715.0957634304	20715.0957634304	97033.8347392059	97033.8347392059	4.68420884206123
"Denmark"	"1991-1995"	"Female"	"High"	"30-34"	0.000404373883741278	2.5	0.0020198275049747	0.997980172495025	1e+05	201.982750497482	499495.043123756	5111936.61551691	51.1193661551691
"Denmark"	"1991-1995"	"Female"	"High"	"35-39"	0.000688994356655525	2.5	0.00343904807149381	0.996560951928506	99798.0172495025	343.210178760812	498132.060800611	4612441.57239315	46.2177676422339
"Denmark"	"1991-1995"	"Female"	"High"	"40-44"	0.00131664938581125	2.5	0.00656164845304222	0.993438351546958	99454.8070707417	652.587480963339	495642.5666513	4114309.51159254	41.3686339833333
"Denmark"	"1991-1995"	"Female"	"High"	"45-49"	0.00200137629416334	2.5	0.00995706190169281	0.990042938098307	98802.2195897784	983.779816480062	491551.648407692	3618666.94494124	36.6253608468085
"Denmark"	"1991-1995"	"Female"	"High"	"50-54"	0.00334146191954774	2.5	0.0165688987372899	0.98343110126271	97818.4397732983	1620.74382324348	485040.339308383	3127115.29653355	31.9685664970826
"Denmark"	"1991-1995"	"Female"	"High"	"55-59"	0.00601599316326982	2.5	0.0296342669479556	0.970365733052044	96197.6959500548	2850.74820156219	473861.609246369	2642074.95722517	27.4650544499207
"Denmark"	"1991-1995"	"Female"	"High"	"60-64"	0.0092524539995396	2.5	0.0452163641738359	0.954783635826164	93346.9477484926	4220.80958391186	456182.714782684	2168213.3479788	23.2274691382591
"Denmark"	"1991-1995"	"Female"	"High"	"65-69"	0.0145522054422473	2.5	0.0702068653897179	0.929793134610282	89126.1381645808	6257.26678482612	429987.523860838	1712030.63319612	19.2090745594146
"Denmark"	"1991-1995"	"Female"	"High"	"70-74"	0.023116402809832	2.5	0.109267344193326	0.890732655806674	82868.8713797547	9054.86149196413	391707.203168863	1282043.10933528	15.4707441767873
"Denmark"	"1991-1995"	"Female"	"High"	"75-79"	0.037605135555858	2.5	0.171867889567114	0.828132110432886	73814.0098877905	12686.2580999006	337354.404189201	890335.906166415	12.0618823922433
"Denmark"	"1991-1995"	"Female"	"High"	"80-84"	0.0653451358875111	2.5	0.280845896295377	0.719154103704623	61127.7517878899	17167.4782393913	262720.063340971	552981.501977214	9.04632488196247
"Denmark"	"1991-1995"	"Female"	"High"	"85-89"	0.116528234441008	2.5	0.451197927513549	0.548802072486451	43960.2735484986	19834.7843180113	170214.406947465	290261.438636243	6.60281238505069
"Denmark"	"1991-1995"	"Female"	"High"	"90+"	0.200966978450851	4.97594185725671	1	0	24125.4892304873	24125.4892304873	120047.031688778	120047.031688778	4.97594185725671
"Denmark"	"1991-1995"	"Female"	"Low"	"30-34"	0.000965747983957712	2.5	0.00481710963499232	0.995182890365008	1e+05	481.710963499223	498795.722591252	4774694.30738021	47.7469430738021
"Denmark"	"1991-1995"	"Female"	"Low"	"35-39"	0.00154730373150506	2.5	0.00770670711583047	0.99229329288417	99518.2890365008	766.958306272878	495674.049416822	4275898.58478896	42.9659575761061
"Denmark"	"1991-1995"	"Female"	"Low"	"40-44"	0.00227104493214837	2.5	0.0112911180695664	0.988708881930434	98751.3307302279	1115.01293480179	490969.121314135	3780224.53537214	38.2802389336816
"Denmark"	"1991-1995"	"Female"	"Low"	"45-49"	0.00363004202032927	2.5	0.0179869764012583	0.982013023598742	97636.3177954261	1756.18214409209	483791.1336169	3289255.414058	33.6888515290987
"Denmark"	"1991-1995"	"Female"	"Low"	"50-54"	0.00551603861136519	2.5	0.0272050330253477	0.972794966974652	95880.135651334	2608.42225686935	472879.622614497	2805464.2804411	29.2601200591029
"Denmark"	"1991-1995"	"Female"	"Low"	"55-59"	0.00847141418331069	2.5	0.0414786146063526	0.958521385393647	93271.7133944647	3868.78145356318	456686.613338415	2332584.65782661	25.0084894223144
