country, men_low, men_lower_sec, men_upper_sec, men_tert, men_Total, fem_low, fem_lower_sec, fem_upper_sec, fem_tert, fem_Total
Sweden,75.8,76.8,78.1,80.6,77.5,80.8,82.3,83.0,84.7,82.1
Norway, ,74.5,77.0,79.4,76.5, ,80.4,82.5,83.9,81.6
Finland, ,73.0,75.1,78.1,74.4, ,80.3,82.1,83.2,81.1
Belgium,73.6,75.5,76.3,78.4,75.0,80.2,82.1,82.5,83.0,80.9
Switzerland, ,74.5,77.6,80.0,77.3, ,82.1,83.7,84.6,82.9
France,73.7,76.8,77.1,80.5,75.6,82.1,83.9,84.6,85.0,82.8
Slovenia,69.3,70.6,73.6,77.4,72.4,78.0,79.2,80.8,82.4,79.4
Czech Rep.,64.4,74.2,77.5,80.9,73.3,78.0,79.4,81.9,84.0,79.3
Poland,68.6,69.7,76.4,79.7,72.1,78.4,77.2,82.3,83.9,79.7
Estonia,62.6,63.7,68.0,75.6,67.8,71.7,74.9,78.1,81.7,77.7
Lithuania,63.4,63.0,70.9,76.9,69.4,72.4,73.6,82.4,84.0,79.3
