"Total";"All Denmark";"Men";"10 BASIC SCHOOL 8-10 grade";"15-19 years";172814;173505;173523;171807;169537
"Total";"All Denmark";"Men";"10 BASIC SCHOOL 8-10 grade";"20-24 years";61860;61286;61664;60652;60269
"Total";"All Denmark";"Men";"10 BASIC SCHOOL 8-10 grade";"25-29 years";33445;34042;34656;35101;35087
"Total";"All Denmark";"Men";"10 BASIC SCHOOL 8-10 grade";"30-34 years";30766;29548;29063;28234;27746
"Total";"All Denmark";"Men";"10 BASIC SCHOOL 8-10 grade";"35-39 years";36328;34330;32354;30824;29579
"Total";"All Denmark";"Men";"10 BASIC SCHOOL 8-10 grade";"40-44 years";42794;40779;39427;37824;35820
"Total";"All Denmark";"Men";"10 BASIC SCHOOL 8-10 grade";"45-49 years";46838;46722;45718;44014;42373
"Total";"All Denmark";"Men";"10 BASIC SCHOOL 8-10 grade";"50-54 years";45463;44410;45011;44965;44809
"Total";"All Denmark";"Men";"10 BASIC SCHOOL 8-10 grade";"55-59 years";40999;43082;43264;43394;43150
"Total";"All Denmark";"Men";"10 BASIC SCHOOL 8-10 grade";"60-64 years";45592;41827;38600;37095;36878
"Total";"All Denmark";"Men";"10 BASIC SCHOOL 8-10 grade";"65-69 years";47054;47561;47164;46034;43828
"Total";"All Denmark";"Men";"20 GENERAL UPPER SECONDARY SCHOOL";"15-19 years";4855;5225;5278;5649;5786
"Total";"All Denmark";"Men";"20 GENERAL UPPER SECONDARY SCHOOL";"20-24 years";37326;39973;43222;45872;48953
"Total";"All Denmark";"Men";"20 GENERAL UPPER SECONDARY SCHOOL";"25-29 years";12997;12896;13665;14287;15424
"Total";"All Denmark";"Men";"20 GENERAL UPPER SECONDARY SCHOOL";"30-34 years";8132;7564;7170;6811;6489
"Total";"All Denmark";"Men";"20 GENERAL UPPER SECONDARY SCHOOL";"35-39 years";8009;7814;7446;7184;6796
"Total";"All Denmark";"Men";"20 GENERAL UPPER SECONDARY SCHOOL";"40-44 years";8308;7812;7564;7289;7207
"Total";"All Denmark";"Men";"20 GENERAL UPPER SECONDARY SCHOOL";"45-49 years";7970;8360;8472;8371;8125
"Total";"All Denmark";"Men";"20 GENERAL UPPER SECONDARY SCHOOL";"50-54 years";6890;6804;6863;7044;7279
"Total";"All Denmark";"Men";"20 GENERAL UPPER SECONDARY SCHOOL";"55-59 years";6135;6469;6489;6509;6534
"Total";"All Denmark";"Men";"20 GENERAL UPPER SECONDARY SCHOOL";"60-64 years";4130;4339;4757;5070;5422
"Total";"All Denmark";"Men";"20 GENERAL UPPER SECONDARY SCHOOL";"65-69 years";2384;2788;3129;3420;3553
"Total";"All Denmark";"Men";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"15-19 years";2267;2621;2608;2819;2833
"Total";"All Denmark";"Men";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"20-24 years";19639;20939;22647;23924;25211
"Total";"All Denmark";"Men";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"25-29 years";6644;6603;6630;6584;6560
"Total";"All Denmark";"Men";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"30-34 years";4048;3866;3843;3676;3610
"Total";"All Denmark";"Men";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"35-39 years";4189;4145;3930;3754;3533
"Total";"All Denmark";"Men";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"40-44 years";3422;3434;3584;3702;3841
"Total";"All Denmark";"Men";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"45-49 years";3327;3478;3424;3336;3331
"Total";"All Denmark";"Men";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"50-54 years";1995;2170;2495;2796;3034
"Total";"All Denmark";"Men";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"55-59 years";1211;1355;1455;1624;1769
"Total";"All Denmark";"Men";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"60-64 years";1189;1152;1127;1083;1103
"Total";"All Denmark";"Men";"25 VOCATIONAL UPPER SECONDARY SCHOOL";"65-69 years";842;952;1009;1059;1100
"Total";"All Denmark";"Men";"35 VOCATIONAL EDUCATION";"15-19 years";401;466;389;380;332
"Total";"All Denmark";"Men";"35 VOCATIONAL EDUCATION";"20-24 years";32074;32570;32575;32745;31885
"Total";"All Denmark";"Men";"35 VOCATIONAL EDUCATION";"25-29 years";50345;50133;49360;49655;50221
"Total";"All Denmark";"Men";"35 VOCATIONAL EDUCATION";"30-34 years";63365;60050;57516;54545;52457
"Total";"All Denmark";"Men";"35 VOCATIONAL EDUCATION";"35-39 years";75731;73673;70984;68733;66020
"Total";"All Denmark";"Men";"35 VOCATIONAL EDUCATION";"40-44 years";83996;79885;77242;75710;75253
"Total";"All Denmark";"Men";"35 VOCATIONAL EDUCATION";"45-49 years";89392;92462;93354;91350;87619
"Total";"All Denmark";"Men";"35 VOCATIONAL EDUCATION";"50-54 years";76310;77535;79574;82328;85450
"Total";"All Denmark";"Men";"35 VOCATIONAL EDUCATION";"55-59 years";79500;77645;75498;73867;73847
"Total";"All Denmark";"Men";"35 VOCATIONAL EDUCATION";"60-64 years";80591;78799;78073;78233;77572
"Total";"All Denmark";"Men";"35 VOCATIONAL EDUCATION";"65-69 years";66812;72296;75648;77094;76566
"Total";"All Denmark";"Men";"40 SHORT-CYCLE HIGHER EDUCATION";"15-19 years";0;0;0;0;0
"Total";"All Denmark";"Men";"40 SHORT-CYCLE HIGHER EDUCATION";"20-24 years";2073;2458;2811;3233;3447
"Total";"All Denmark";"Men";"40 SHORT-CYCLE HIGHER EDUCATION";"25-29 years";7196;7071;6819;6745;7032
"Total";"All Denmark";"Men";"40 SHORT-CYCLE HIGHER EDUCATION";"30-34 years";11509;10808;10199;8476;7886
"Total";"All Denmark";"Men";"40 SHORT-CYCLE HIGHER EDUCATION";"35-39 years";14897;14420;13887;12361;11728
"Total";"All Denmark";"Men";"40 SHORT-CYCLE HIGHER EDUCATION";"40-44 years";14818;14837;14980;14408;14440
