"x","lx","cohort"
0,1e+05,1870
1,85278.3063405152,1870
2,82277.7546165601,1870
3,80859.7754960495,1870
4,79830.8336329934,1870
5,78939.4316533602,1870
6,78132.10367122,1870
7,77393.7412128701,1870
8,76749.9024220312,1870
9,76184.0862475902,1870
10,75639.6964767698,1870
11,75186.2882168952,1870
12,74835.6820977449,1870
13,74528.5403973167,1870
14,74254.6060450843,1870
15,73964.9393194628,1870
16,73639.3037660045,1870
17,73309.1668887689,1870
18,72921.4789143355,1870
19,72486.331169198,1870
20,72035.8852685445,1870
21,71563.5639972758,1870
22,71104.9227952623,1870
23,70656.3650283599,1870
24,70213.2149713604,1870
25,69782.09473626,1870
26,69408.5446849222,1870
27,69069.4350700898,1870
28,68722.2579453221,1870
29,68376.5606272789,1870
30,68015.8281475484,1870
31,67640.1832000872,1870
32,67260.3477308513,1870
33,66870.3317449307,1870
34,66508.1417716481,1870
35,66170.0044090483,1870
36,65804.6934802019,1870
37,65460.9882968426,1870
38,65105.9173214921,1870
39,64716.7087001192,1870
40,64308.9068351658,1870
41,63879.4546355428,1870
42,63469.6686666873,1870
43,63074.4451297718,1870
44,62654.8659189359,1870
45,62175.7908338783,1870
46,61633.1902858738,1870
47,61118.076528234,1870
48,60700.8230981048,1870
49,60121.3292453851,1870
50,59572.7949299008,1870
51,59057.8273226816,1870
52,58478.1567091714,1870
53,57874.8586257468,1870
54,57184.0229172093,1870
55,56611.5585346967,1870
56,55931.380212653,1870
57,55258.6050326872,1870
58,54473.0165754358,1870
59,53602.1904688598,1870
60,52654.0968208226,1870
61,51606.4013331768,1870
62,50635.5623126094,1870
63,49526.0887006862,1870
64,48184.8971872714,1870
65,46791.2328135939,1870
66,45451.2834863187,1870
67,43876.0384270031,1870
68,42339.0664696128,1870
69,40737.6311799019,1870
70,38901.2572661874,1870
71,36969.658867393,1870
72,35074.8846910681,1870
73,33278.070721154,1870
74,31301.1276805514,1870
75,29416.0095315636,1870
76,27280.5744292428,1870
77,25251.0700466358,1870
78,23326.0783818144,1870
79,21367.1302292385,1870
80,19358.5652280308,1870
81,17161.9822038546,1870
82,15146.843956388,1870
83,13148.0835777675,1870
84,11248.4430722545,1870
85,9580.82684698792,1870
86,7967.62693523647,1870
87,6416.8927387486,1870
88,5109.88195498955,1870
89,4000.07807456281,1870
90,2980.60545801274,1870
91,2186.44976837112,1870
92,1610.13188860809,1870
93,1163.01397431463,1870
94,771.551172024424,1870
95,518.535691185762,1870
96,325.342264260233,1870
97,186.721969939824,1870
98,95.2510136358717,1870
99,63.3596883129142,1870
100,44.5130682656586,1870
101,23.5050010903544,1870
102,18.4932362548422,1870
103,9.49474407955014,1870
104,4.03916317662727,1870
105,0.0112620635966122,1870
106,3.1401077626194e-05,1870
107,8.75530197132677e-08,1870
108,2.44116821472313e-10,1870
0,1e+05,1871
1,85719.6718129741,1871
2,82914.1829325925,1871
3,81457.8716115589,1871
4,80420.9636391122,1871
5,79482.9422555186,1871
6,78663.0148878228,1871
7,77907.151497591,1871
8,77238.5676968885,1871
9,76613.6113492535,1871
10,76115.4612405171,1871
11,75740.7014678214,1871
12,75411.0836246195,1871
13,75130.6155796734,1871
14,74853.2844715774,1871
15,74545.4610717398,1871
16,74238.391521831,1871
17,73874.4259713426,1871
18,73464.2410432698,1871
19,73055.7936153677,1871
20,72615.9409379883,1871
21,72162.7642469739,1871
22,71715.2907096373,1871
23,71269.3753823122,1871
24,70820.4640676354,1871
25,70409.6436409235,1871
26,70041.9548071391,1871
27,69678.6741430747,1871
28,69322.6399584678,1871
29,68952.8000654067,1871
30,68577.3082399063,1871
31,68201.9692199213,1871
32,67811.2460288298,1871
33,67440.6308183208,1871
34,67095.7263383299,1871
35,66724.1245313677,1871
36,66362.7357947009,1871
37,65993.3534049055,1871
38,65595.0439449436,1871
39,65179.9554882006,1871
40,64736.4663074984,1871
41,64306.7179227911,1871
42,63899.801696351,1871
43,63475.4448755703,1871
44,63007.7924010862,1871
