"year","country","sex","edu","age","n","prev","source","alln"
"2011","Austria","Females","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 25 to 29 years",64557,0.105738409755378,"EUROSTATcensus",NA
"2011","Austria","Females","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 30 to 34 years",62744,0.0986384237723255,"EUROSTATcensus",NA
"2011","Austria","Females","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 35 to 39 years",57900,0.0952772749712029,"EUROSTATcensus",NA
"2011","Austria","Females","Lower secondary or second stage of basic education (level 2)","From 25 to 29 years",37072,0.0607205156133555,"EUROSTATcensus",NA
"2011","Austria","Females","Lower secondary or second stage of basic education (level 2)","From 30 to 34 years",37238,0.0585410178572271,"EUROSTATcensus",NA
"2011","Austria","Females","Lower secondary or second stage of basic education (level 2)","From 35 to 39 years",46850,0.0770939608359388,"EUROSTATcensus",NA
"2011","Austria","Females","Post-secondary non-tertiary education (level 4)","From 25 to 29 years",47937,0.0785163831721359,"EUROSTATcensus",NA
"2011","Austria","Females","Post-secondary non-tertiary education (level 4)","From 30 to 34 years",40998,0.064452028844476,"EUROSTATcensus",NA
"2011","Austria","Females","Post-secondary non-tertiary education (level 4)","From 35 to 39 years",38776,0.0638077999012671,"EUROSTATcensus",NA
"2011","Austria","Females","Primary education or first stage of basic education (level 1)","From 25 to 29 years",7303,0.0119616402008075,"EUROSTATcensus",NA
"2011","Austria","Females","Primary education or first stage of basic education (level 1)","From 30 to 34 years",5773,0.00907560277377335,"EUROSTATcensus",NA
"2011","Austria","Females","Primary education or first stage of basic education (level 1)","From 35 to 39 years",6124,0.0100773407931545,"EUROSTATcensus",NA
"2011","Austria","Females","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 25 to 29 years",795,0.00130213665064247,"EUROSTATcensus",NA
"2011","Austria","Females","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 30 to 34 years",2660,0.00418172585800054,"EUROSTATcensus",NA
"2011","Austria","Females","Second stage of tertiary education leading to an advanced research qualification (level 6)","From 35 to 39 years",2948,0.00485107783445779,"EUROSTATcensus",NA
"2011","Austria","Females","Upper secondary education (level 3)","From 25 to 29 years",117883,0.19308147772036,"EUROSTATcensus",NA
"2011","Austria","Females","Upper secondary education (level 3)","From 30 to 34 years",118627,0.186490824570312,"EUROSTATcensus",NA
"2011","Austria","Females","Upper secondary education (level 3)","From 35 to 39 years",132012,0.217232186934343,"EUROSTATcensus",NA
"2011","Austria","Males","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 25 to 29 years",52543,0.0837638994061616,"EUROSTATcensus",NA
"2011","Austria","Males","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 30 to 34 years",60142,0.0915828504861465,"EUROSTATcensus",NA
"2011","Austria","Males","First stage of tertiary education not leading directly to an advanced research qualification (level 5)","From 35 to 39 years",61054,0.0974781865934364,"EUROSTATcensus",NA
"2011","Austria","Males","Lower secondary or second stage of basic education (level 2)","From 25 to 29 years",39873,0.0635654218644135,"EUROSTATcensus",NA
"2011","Austria","Males","Lower secondary or second stage of basic education (level 2)","From 30 to 34 years",33006,0.0502607755502935,"EUROSTATcensus",NA
"2011","Austria","Males","Lower secondary or second stage of basic education (level 2)","From 35 to 39 years",33850,0.0540445608180926,"EUROSTATcensus",NA
