"Sex","Country","Year","LEnew","LEall"
"1","Females","Denmark","1989/90",50.0187499516425,48.58
"2","Females","Denmark","2009/10",53.0400155798209,51.51
"3","Females","Italy","1991",53.2718461967446,51.54
"4","Females","Italy","2011",58.8144738757459,55.15
"5","Females","United","1990",50.1938193001213,50.34
"6","Females","United","2010",52.8255430137615,52.25
"7","Males","Denmark","1989/90",44.1356548140811,43.4
"8","Males","Denmark","2009/10",48.0548601630395,47.57
"9","Males","Italy","1991",46.794161346548,45.55
"10","Males","Italy","2011",53.5633948101998,50.63
"11","Males","United","1990",44.2818776427395,44.19
"12","Males","United","2010",48.2149127091908,47.97
