"sex","year","edu","sumall.x","sumall.y","prev"
"Females",1980,"1",42510,148377,0.286499929234315
"Females",1980,"2",75839,148377,0.511123691677282
"Females",1980,"3",30028,148377,0.202376379088403
"Females",1981,"1",45102,151048,0.298593824479636
"Females",1981,"2",74923,151048,0.496021132355278
"Females",1981,"3",31023,151048,0.205385043165087
"Females",1982,"1",46701,151974,0.307295984839512
"Females",1982,"2",73742,151974,0.485227736323318
"Females",1982,"3",31531,151974,0.20747627883717
"Females",1983,"1",49711,152455,0.326069987865272
"Females",1983,"2",70942,152455,0.46533075333705
"Females",1983,"3",31802,152455,0.208599258797678
"Females",1984,"1",55473,152899,0.362808128241519
"Females",1984,"2",65100,152899,0.425771260766911
"Females",1984,"3",32326,152899,0.21142061099157
"Females",1985,"1",60050,152794,0.393012814639318
"Females",1985,"2",60148,152794,0.393654201081194
"Females",1985,"3",32596,152794,0.213332984279487
"Females",1986,"1",62670,152526,0.410880767869085
"Females",1986,"2",56985,152526,0.373608433971913
"Females",1986,"3",32871,152526,0.215510798159002
"Females",1987,"1",65514,153895,0.425705838396309
"Females",1987,"2",54638,153895,0.355034276617174
"Females",1987,"3",33743,153895,0.219259884986517
"Females",1988,"1",65810,155388,0.423520477771771
"Females",1988,"2",54669,155388,0.351822534558653
"Females",1988,"3",34909,155388,0.224656987669576
"Females",1989,"1",60697,155969,0.38916066654271
"Females",1989,"2",59126,155969,0.379088152132796
"Females",1989,"3",36146,155969,0.231751181324494
"Females",1990,"1",56543,157947,0.357987172912433
"Females",1990,"2",63350,157947,0.401083907893154
"Females",1990,"3",38054,157947,0.240928919194413
"Females",1991,"1",53309,160479,0.332186765869678
"Females",1991,"2",67007,160479,0.417543728462914
"Females",1991,"3",40163,160479,0.250269505667408
"Females",1992,"1",50993,163421,0.312034561041727
"Females",1992,"2",69634,163421,0.426101908567442
"Females",1992,"3",42794,163421,0.261863530390831
"Females",1993,"1",48662,166029,0.293093375253721
"Females",1993,"2",71478,166029,0.430515150967602
"Females",1993,"3",45889,166029,0.276391473778677
"Females",1994,"1",46338,167942,0.275916685522383
"Females",1994,"2",72263,167942,0.430285455693037
"Females",1994,"3",49341,167942,0.29379785878458
"Females",1995,"1",43897,168057,0.26120304420524
"Females",1995,"2",72229,168057,0.429788702642556
"Females",1995,"3",51931,168057,0.309008253152204
"Females",1996,"1",42004,168357,0.249493635548269
"Females",1996,"2",70905,168357,0.421158609383631
"Females",1996,"3",55448,168357,0.329347755068099
"Females",1997,"1",39288,168232,0.233534642636359
"Females",1997,"2",70103,168232,0.416704313091445
"Females",1997,"3",58841,168232,0.349761044272196
"Females",1998,"1",35916,166458,0.215766139206286
"Females",1998,"2",69043,166458,0.414777301181079
"Females",1998,"3",61499,166458,0.369456559612635
"Females",1999,"1",32529,163996,0.198352398838996
"Females",1999,"2",67936,163996,0.414254006195273
"Females",1999,"3",63531,163996,0.387393594965731
"Females",2000,"1",30996,160780,0.19278517228511
"Females",2000,"2",65263,160780,0.405914914790397
"Females",2000,"3",64521,160780,0.401299912924493
"Females",2001,"1",29344,155419,0.188805744471397
"Females",2001,"2",61519,155419,0.395826765067334
"Females",2001,"3",64556,155419,0.415367490461269
"Females",2002,"1",28934,150399,0.192381598281903
"Females",2002,"2",57317,150399,0.381099608375056
"Females",2002,"3",64148,150399,0.426518793343041
"Females",2003,"1",29610,146985,0.201449127461986
"Females",2003,"2",53807,146985,0.366071367826649
"Females",2003,"3",63568,146985,0.432479504711365
"Females",2004,"1",30124,143769,0.209530566394703
"Females",2004,"2",50347,143769,0.35019371352656
"Females",2004,"3",63298,143769,0.440275720078737
"Females",2005,"1",30850,142432,0.216594585486408
"Females",2005,"2",47443,142432,0.333092282633116
"Females",2005,"3",64139,142432,0.450313131880476
"Females",2006,"1",31858,142858,0.223004661972028
"Females",2006,"2",45494,142858,0.318456089263464
"Females",2006,"3",65506,142858,0.458539248764507
"Females",2007,"1",33482,145290,0.230449445935715
"Females",2007,"2",44708,145290,0.307715603276206
"Females",2007,"3",67100,145290,0.461834950788079
"Females",2008,"1",34917,148011,0.235908141962422
"Females",2008,"2",44053,148011,0.297633284012675
"Females",2008,"3",69041,148011,0.466458574024904
"Females",2009,"1",35753,150013,0.238332677834588
"Females",2009,"2",43243,150013,0.288261683987388
"Females",2009,"3",71017,150013,0.473405638178025
"Females",2010,"1",36859,153282,0.240465286204512
"Females",2010,"2",43046,153282,0.280828799206691
"Females",2010,"3",73377,153282,0.478705914588797
"Females",2011,"1",37860,156878,0.241334030265557
"Females",2011,"2",42673,156878,0.27201392164612
"Females",2011,"3",76345,156878,0.486652048088323
"Females",2012,"1",39117,161361,0.242419171918865
"Females",2012,"2",42311,161361,0.262213298132758
"Females",2012,"3",79933,161361,0.495367529948377
"Females",2013,"1",43771,167340,0.261569260188837
"Females",2013,"2",41491,167340,0.247944305007769
"Females",2013,"3",82078,167340,0.490486434803394
"Males",1980,"1",40956,156370,0.261917247553879
"Males",1980,"2",81460,156370,0.520943915073224
"Males",1980,"3",33954,156370,0.217138837372898
"Males",1981,"1",42729,158015,0.270411036926874
"Males",1981,"2",81823,158015,0.517817928677657
"Males",1981,"3",33463,158015,0.211771034395469
"Males",1982,"1",44375,158664,0.279679070236475
"Males",1982,"2",81398,158664,0.513021227247517
"Males",1982,"3",32891,158664,0.207299702516009
"Males",1983,"1",46912,158960,0.295118268746855
"Males",1983,"2",79693,158960,0.501339959738299
"Males",1983,"3",32355,158960,0.203541771514847
"Males",1984,"1",51239,159734,0.320777041832046
"Males",1984,"2",76443,159734,0.47856436325391
"Males",1984,"3",32052,159734,0.200658594914045
"Males",1985,"1",54930,159520,0.344345536609829
"Males",1985,"2",72911,159520,0.457064944834503
"Males",1985,"3",31679,159520,0.198589518555667
"Males",1986,"1",57638,159875,0.360519155590305
"Males",1986,"2",70770,159875,0.442658326817826
"Males",1986,"3",31467,159875,0.196822517591869
"Males",1987,"1",60863,162347,0.374894516067436
"Males",1987,"2",69725,162347,0.429481296235841
"Males",1987,"3",31759,162347,0.195624187696724
"Males",1988,"1",62631,164563,0.380589804512558
"Males",1988,"2",69737,164563,0.423770835485498
"Males",1988,"3",32195,164563,0.195639360001945
"Males",1989,"1",60455,165381,0.365549851554894
"Males",1989,"2",71891,165381,0.434699270170092
"Males",1989,"3",33035,165381,0.199750878275013
"Males",1990,"1",58810,167158,0.351822826308044
"Males",1990,"2",74376,167158,0.444944304191244
"Males",1990,"3",33972,167158,0.203232869500712
"Males",1991,"1",57930,170240,0.340284304511278
"Males",1991,"2",76729,170240,0.450710761278195
"Males",1991,"3",35581,170240,0.209004934210526
"Males",1992,"1",56257,172691,0.32576683208737
"Males",1992,"2",78856,172691,0.456630629274253
"Males",1992,"3",37578,172691,0.217602538638377
"Males",1993,"1",54130,175584,0.308285492983415
"Males",1993,"2",81100,175584,0.46188718789867
"Males",1993,"3",40354,175584,0.229827319117915
"Males",1994,"1",51349,176627,0.290719991847226
"Males",1994,"2",82523,176627,0.46721622402011
"Males",1994,"3",42755,176627,0.242063784132664
"Males",1995,"1",48153,175656,0.274132395135948
"Males",1995,"2",83081,175656,0.472975588650544
"Males",1995,"3",44422,175656,0.252892016213508
"Males",1996,"1",45265,174559,0.259310605583213
"Males",1996,"2",82862,174559,0.474693370149921
"Males",1996,"3",46432,174559,0.265996024266867
"Males",1997,"1",42728,173946,0.245639451323974
"Males",1997,"2",82876,173946,0.476446713347821
"Males",1997,"3",48342,173946,0.277913835328205
"Males",1998,"1",39046,171701,0.227406945795307
"Males",1998,"2",83492,171701,0.48626391226609
"Males",1998,"3",49163,171701,0.286329141938603
"Males",1999,"1",35352,168326,0.210021030619156
"Males",1999,"2",83947,168326,0.498716775780331
"Males",1999,"3",49027,168326,0.291262193600513
"Males",2000,"1",33986,165387,0.205493781252456
"Males",2000,"2",82540,165387,0.4990718738474
"Males",2000,"3",48861,165387,0.295434344900143
"Males",2001,"1",32009,159412,0.200794168569493
"Males",2001,"2",79326,159412,0.497616239680827
"Males",2001,"3",48077,159412,0.30158959174968
"Males",2002,"1",31306,153546,0.203886783113855
"Males",2002,"2",75613,153546,0.492445260703633
"Males",2002,"3",46627,153546,0.303667956182512
"Males",2003,"1",32709,149203,0.219224814514453
"Males",2003,"2",71424,149203,0.478703511323499
"Males",2003,"3",45070,149203,0.302071674162048
"Males",2004,"1",34321,145724,0.235520573138261
"Males",2004,"2",67091,145724,0.460397738190003
"Males",2004,"3",44312,145724,0.304081688671736
"Males",2005,"1",36231,144299,0.251082821086771
"Males",2005,"2",64150,144299,0.444563025384791
"Males",2005,"3",43918,144299,0.304354153528437
"Males",2006,"1",38826,144592,0.268521080004426
"Males",2006,"2",61963,144592,0.428536848511674
"Males",2006,"3",43803,144592,0.3029420714839
"Males",2007,"1",42334,148290,0.285481151797154
"Males",2007,"2",61319,148290,0.413507316744217
"Males",2007,"3",44637,148290,0.301011531458628
"Males",2008,"1",45443,152721,0.297555673417539
"Males",2008,"2",61454,152721,0.402393907845025
"Males",2008,"3",45824,152721,0.300050418737436
"Males",2009,"1",46586,154612,0.30130908338292
"Males",2009,"2",61133,154612,0.395396217628645
"Males",2009,"3",46893,154612,0.303294698988436
"Males",2010,"1",48470,157810,0.307141499271276
"Males",2010,"2",61094,157810,0.387136429884038
"Males",2010,"3",48246,157810,0.305722070844687
"Males",2011,"1",50981,163276,0.312238173399642
"Males",2011,"2",61738,163276,0.378120483108356
"Males",2011,"3",50557,163276,0.309641343492001
"Males",2012,"1",52817,167683,0.314981244371821
"Males",2012,"2",62251,167683,0.371242165276146
"Males",2012,"3",52615,167683,0.313776590352033
"Males",2013,"1",56944,172833,0.329474116632819
"Males",2013,"2",62108,172833,0.359352669918361
"Males",2013,"3",53781,172833,0.311173213448821
