"year","country","sex","edu","age","n","prev","source","alln"
"1991","Austria","f","1","From 25 to 29 years",91269,0.268688748038612,"EUROSTATcensus",NA
"1991","Austria","f","1","From 30 to 34 years",93302,0.305967383854582,"EUROSTATcensus",NA
"1991","Austria","f","1","From 35 to 39 years",96582,0.369231122121296,"EUROSTATcensus",NA
"1991","Austria","f","1","From 40 to 44 years",104410,0.399614202551315,"EUROSTATcensus",NA
"1991","Austria","f","1","From 45 to 49 years",101297,0.423796036364701,"EUROSTATcensus",NA
"1991","Austria","f","1","From 50 to 54 years",132716,0.544413359696117,"EUROSTATcensus",NA
"1991","Austria","f","1","From 55 to 59 years",128701,0.663516662542275,"EUROSTATcensus",NA
"1991","Austria","f","1","From 60 to 64 years",137863,0.648114369529039,"EUROSTATcensus",NA
"1991","Austria","f","1","From 65 to 69 years",164005,0.679678240184336,"EUROSTATcensus",NA
"1991","Austria","f","2","From 25 to 29 years",220200,0.648251457976996,"EUROSTATcensus",NA
"1991","Austria","f","2","From 30 to 34 years",179545,0.58878602746105,"EUROSTATcensus",NA
"1991","Austria","f","2","From 35 to 39 years",139434,0.533053491145977,"EUROSTATcensus",NA
"1991","Austria","f","2","From 40 to 44 years",141518,0.541639715704023,"EUROSTATcensus",NA
"1991","Austria","f","2","From 45 to 49 years",128365,0.537040368500103,"EUROSTATcensus",NA
"1991","Austria","f","2","From 50 to 54 years",105043,0.430896143212267,"EUROSTATcensus",NA
"1991","Austria","f","2","From 55 to 59 years",62318,0.321279798729687,"EUROSTATcensus",NA
"1991","Austria","f","2","From 60 to 64 years",71020,0.333875532405013,"EUROSTATcensus",NA
"1991","Austria","f","2","From 65 to 69 years",72635,0.301017828577112,"EUROSTATcensus",NA
"1991","Austria","f","3","From 25 to 29 years",28214,0.0830597939843913,"EUROSTATcensus",NA
"1991","Austria","f","3","From 30 to 34 years",32094,0.105246588684368,"EUROSTATcensus",NA
"1991","Austria","f","3","From 35 to 39 years",25560,0.0977153867327278,"EUROSTATcensus",NA
"1991","Austria","f","3","From 40 to 44 years",15349,0.0587460817446618,"EUROSTATcensus",NA
"1991","Austria","f","3","From 45 to 49 years",9361,0.0391635951351962,"EUROSTATcensus",NA
"1991","Austria","f","3","From 50 to 54 years",6019,0.0246904970916161,"EUROSTATcensus",NA
"1991","Austria","f","3","From 55 to 59 years",2949,0.0152035387280376,"EUROSTATcensus",NA
"1991","Austria","f","3","From 60 to 64 years",3831,0.0180100980659477,"EUROSTATcensus",NA
"1991","Austria","f","3","From 65 to 69 years",4658,0.0193039312385515,"EUROSTATcensus",NA
"1991","Austria","m","1","From 25 to 29 years",66296,0.184619154766413,"EUROSTATcensus",NA
"1991","Austria","m","1","From 30 to 34 years",60779,0.190187562192168,"EUROSTATcensus",NA
"1991","Austria","m","1","From 35 to 39 years",60458,0.225937732401051,"EUROSTATcensus",NA
"1991","Austria","m","1","From 40 to 44 years",63931,0.238428403602663,"EUROSTATcensus",NA
"1991","Austria","m","1","From 45 to 49 years",58063,0.242324964108043,"EUROSTATcensus",NA
"1991","Austria","m","1","From 50 to 54 years",74393,0.307588305583005,"EUROSTATcensus",NA
"1991","Austria","m","1","From 55 to 59 years",69122,0.377305552977909,"EUROSTATcensus",NA
"1991","Austria","m","1","From 60 to 64 years",68490,0.370024203656481,"EUROSTATcensus",NA
"1991","Austria","m","1","From 65 to 69 years",60576,0.400296045675619,"EUROSTATcensus",NA
"1991","Austria","m","2","From 25 to 29 years",270286,0.752684518903023,"EUROSTATcensus",NA
"1991","Austria","m","2","From 30 to 34 years",227928,0.713224480089119,"EUROSTATcensus",NA
"1991","Austria","m","2","From 35 to 39 years",179391,0.67040252329149,"EUROSTATcensus",NA
"1991","Austria","m","2","From 40 to 44 years",179909,0.67096425308147,"EUROSTATcensus",NA
"1991","Austria","m","2","From 45 to 49 years",160905,0.671534339421054,"EUROSTATcensus",NA
"1991","Austria","m","2","From 50 to 54 years",151857,0.627874091929595,"EUROSTATcensus",NA
"1991","Austria","m","2","From 55 to 59 years",105213,0.574309903438338,"EUROSTATcensus",NA
"1991","Austria","m","2","From 60 to 64 years",107018,0.578175649392748,"EUROSTATcensus",NA
"1991","Austria","m","2","From 65 to 69 years",81308,0.537296468598012,"EUROSTATcensus",NA
"1991","Austria","m","3","From 25 to 29 years",22514,0.0626963263305634,"EUROSTATcensus",NA
"1991","Austria","m","3","From 30 to 34 years",30867,0.096587957718713,"EUROSTATcensus",NA
"1991","Austria","m","3","From 35 to 39 years",27738,0.103659744307459,"EUROSTATcensus",NA
"1991","Austria","m","3","From 40 to 44 years",24295,0.090607343315867,"EUROSTATcensus",NA
"1991","Austria","m","3","From 45 to 49 years",20640,0.0861406964709025,"EUROSTATcensus",NA
"1991","Austria","m","3","From 50 to 54 years",15609,0.0645376024873997,"EUROSTATcensus",NA
"1991","Austria","m","3","From 55 to 59 years",8864,0.0483845435837532,"EUROSTATcensus",NA
"1991","Austria","m","3","From 60 to 64 years",9588,0.0518001469507715,"EUROSTATcensus",NA
"1991","Austria","m","3","From 65 to 69 years",9444,0.0624074857263692,"EUROSTATcensus",NA
"2001","Austria","f","1","From 25 to 29 years",55222,0.203882563171031,"EUROSTATcensus",NA
"2001","Austria","f","1","From 30 to 34 years",77182,0.233065587631356,"EUROSTATcensus",NA
"2001","Austria","f","1","From 35 to 39 years",89658,0.259034334515954,"EUROSTATcensus",NA
"2001","Austria","f","1","From 40 to 44 years",91764,0.296488240824806,"EUROSTATcensus",NA
"2001","Austria","f","1","From 45 to 49 years",94381,0.358448789232218,"EUROSTATcensus",NA
"2001","Austria","f","1","From 50 to 54 years",102371,0.395821814259035,"EUROSTATcensus",NA
"2001","Austria","f","1","From 55 to 59 years",100540,0.434414400400971,"EUROSTATcensus",NA
"2001","Austria","f","1","From 60 to 64 years",131455,0.562095387957206,"EUROSTATcensus",NA
"2001","Austria","f","1","From 65 to 69 years",121776,0.677466731941786,"EUROSTATcensus",NA
"2001","Austria","f","2","From 25 to 29 years",176261,0.650764993428145,"EUROSTATcensus",NA
"2001","Austria","f","2","From 30 to 34 years",205791,0.621424688972098,"EUROSTATcensus",NA
"2001","Austria","f","2","From 35 to 39 years",207902,0.600657567808069,"EUROSTATcensus",NA
"2001","Austria","f","2","From 40 to 44 years",175214,0.566114060283745,"EUROSTATcensus",NA
"2001","Austria","f","2","From 45 to 49 years",137052,0.520508613617719,"EUROSTATcensus",NA
"2001","Austria","f","2","From 50 to 54 years",134851,0.521407112118131,"EUROSTATcensus",NA
"2001","Austria","f","2","From 55 to 59 years",116207,0.502108556071172,"EUROSTATcensus",NA
"2001","Austria","f","2","From 60 to 64 years",92611,0.396000273660985,"EUROSTATcensus",NA
"2001","Austria","f","2","From 65 to 69 years",52789,0.293676843651253,"EUROSTATcensus",NA
"2001","Austria","f","3","From 25 to 29 years",39369,0.145352443400824,"EUROSTATcensus",NA
"2001","Austria","f","3","From 30 to 34 years",48187,0.145509723396545,"EUROSTATcensus",NA
"2001","Austria","f","3","From 35 to 39 years",48564,0.140308097675977,"EUROSTATcensus",NA
"2001","Austria","f","3","From 40 to 44 years",42525,0.137397698891449,"EUROSTATcensus",NA
"2001","Austria","f","3","From 45 to 49 years",31871,0.121042597150062,"EUROSTATcensus",NA
"2001","Austria","f","3","From 50 to 54 years",21407,0.0827710736228343,"EUROSTATcensus",NA
"2001","Austria","f","3","From 55 to 59 years",14691,0.0634770435278563,"EUROSTATcensus",NA
"2001","Austria","f","3","From 60 to 64 years",9800,0.0419043383818084,"EUROSTATcensus",NA
"2001","Austria","f","3","From 65 to 69 years",5187,0.0288564244069607,"EUROSTATcensus",NA
"2001","Austria","m","1","From 25 to 29 years",38905,0.145071016000507,"EUROSTATcensus",NA
"2001","Austria","m","1","From 30 to 34 years",51558,0.152936186117151,"EUROSTATcensus",NA
"2001","Austria","m","1","From 35 to 39 years",57416,0.16004549154281,"EUROSTATcensus",NA
"2001","Austria","m","1","From 40 to 44 years",53297,0.168512077905653,"EUROSTATcensus",NA
"2001","Austria","m","1","From 45 to 49 years",53361,0.203743370637221,"EUROSTATcensus",NA
"2001","Austria","m","1","From 50 to 54 years",56797,0.221944776597657,"EUROSTATcensus",NA
"2001","Austria","m","1","From 55 to 59 years",51757,0.234378042540088,"EUROSTATcensus",NA
"2001","Austria","m","1","From 60 to 64 years",67485,0.310717294915535,"EUROSTATcensus",NA
"2001","Austria","m","1","From 65 to 69 years",59071,0.386479024364712,"EUROSTATcensus",NA
"2001","Austria","m","2","From 25 to 29 years",193455,0.721365207566588,"EUROSTATcensus",NA
"2001","Austria","m","2","From 30 to 34 years",226001,0.670385410579584,"EUROSTATcensus",NA
"2001","Austria","m","2","From 35 to 39 years",236755,0.659947930023303,"EUROSTATcensus",NA
"2001","Austria","m","2","From 40 to 44 years",205370,0.6493297078538,"EUROSTATcensus",NA
"2001","Austria","m","2","From 45 to 49 years",161539,0.61678942203793,"EUROSTATcensus",NA
"2001","Austria","m","2","From 50 to 54 years",156467,0.611423725899354,"EUROSTATcensus",NA
"2001","Austria","m","2","From 55 to 59 years",130758,0.592128679916858,"EUROSTATcensus",NA
"2001","Austria","m","2","From 60 to 64 years",117202,0.53962641177581,"EUROSTATcensus",NA
"2001","Austria","m","2","From 65 to 69 years",75193,0.491959121718877,"EUROSTATcensus",NA
"2001","Austria","m","3","From 25 to 29 years",35819,0.133563776432905,"EUROSTATcensus",NA
"2001","Austria","m","3","From 30 to 34 years",59562,0.176678403303265,"EUROSTATcensus",NA
"2001","Austria","m","3","From 35 to 39 years",64577,0.180006578433887,"EUROSTATcensus",NA
"2001","Austria","m","3","From 40 to 44 years",57613,0.182158214240546,"EUROSTATcensus",NA
"2001","Austria","m","3","From 45 to 49 years",47003,0.179467207324849,"EUROSTATcensus",NA
"2001","Austria","m","3","From 50 to 54 years",42642,0.166631497502989,"EUROSTATcensus",NA
"2001","Austria","m","3","From 55 to 59 years",38312,0.173493277543054,"EUROSTATcensus",NA
"2001","Austria","m","3","From 60 to 64 years",32504,0.149656293308655,"EUROSTATcensus",NA
"2001","Austria","m","3","From 65 to 69 years",18580,0.121561853916411,"EUROSTATcensus",NA
"2011","Austria","f","1","From 25 to 29 years",44375,0.161043306586535,"EUROSTATcensus",NA
"2011","Austria","f","1","From 30 to 34 years",43011,0.160464855991643,"EUROSTATcensus",NA
"2011","Austria","f","1","From 35 to 39 years",52974,0.186128386212712,"EUROSTATcensus",NA
"2011","Austria","f","1","From 40 to 44 years",69076,0.205102928557219,"EUROSTATcensus",NA
"2011","Austria","f","1","From 45 to 49 years",80968,0.22987578962311,"EUROSTATcensus",NA
