"year","country","sex","edu","age","n","prev","source"
2001,"Austria","f","2a","From 25 to 29 years",59863,0.134555646963097,"EUROSTATcensus"
2001,"Austria","f","2a","From 30 to 34 years",83599,0.153186350859576,"EUROSTATcensus"
2001,"Austria","f","2a","From 35 to 39 years",96072,0.168632276251376,"EUROSTATcensus"
2001,"Austria","f","2a","From 40 to 44 years",97087,0.192708643475016,"EUROSTATcensus"
2001,"Austria","f","2a","From 45 to 49 years",98730,0.236749531800404,"EUROSTATcensus"
2001,"Austria","f","2a","From 50 to 54 years",106220,0.263984571491058,"EUROSTATcensus"
2001,"Austria","f","2a","From 55 to 59 years",103722,0.295237634387177,"EUROSTATcensus"
2001,"Austria","f","2a","From 60 to 64 years",134971,0.413267196374715,"EUROSTATcensus"
2001,"Austria","f","2a","From 65 to 69 years",124012,0.534924147331461,"EUROSTATcensus"
2001,"Austria","f","2b","From 25 to 29 years",176261,0.396186507347818,"EUROSTATcensus"
2001,"Austria","f","2b","From 30 to 34 years",205791,0.377090304067549,"EUROSTATcensus"
2001,"Austria","f","2b","From 35 to 39 years",207902,0.364924093359288,"EUROSTATcensus"
2001,"Austria","f","2b","From 40 to 44 years",175214,0.347783454611137,"EUROSTATcensus"
2001,"Austria","f","2b","From 45 to 49 years",137052,0.328643743870242,"EUROSTATcensus"
2001,"Austria","f","2b","From 50 to 54 years",134851,0.335140119093774,"EUROSTATcensus"
2001,"Austria","f","2b","From 55 to 59 years",116207,0.330775339650515,"EUROSTATcensus"
2001,"Austria","f","2b","From 60 to 64 years",92611,0.283565271972933,"EUROSTATcensus"
2001,"Austria","f","2b","From 65 to 69 years",52789,0.227704664173471,"EUROSTATcensus"
2001,"Austria","f","3","From 25 to 29 years",208770,0.469257845689086,"EUROSTATcensus"
2001,"Austria","f","3","From 30 to 34 years",256344,0.469723345072874,"EUROSTATcensus"
2001,"Austria","f","3","From 35 to 39 years",265739,0.466443630389336,"EUROSTATcensus"
2001,"Austria","f","3","From 40 to 44 years",231501,0.459507901913847,"EUROSTATcensus"
2001,"Austria","f","3","From 45 to 49 years",181241,0.434606724329354,"EUROSTATcensus"
2001,"Austria","f","3","From 50 to 54 years",161301,0.400875309415168,"EUROSTATcensus"
2001,"Austria","f","3","From 55 to 59 years",131388,0.373987025962308,"EUROSTATcensus"
2001,"Austria","f","3","From 60 to 64 years",99013,0.303167531652352,"EUROSTATcensus"
2001,"Austria","f","3","From 65 to 69 years",55030,0.237371188495068,"EUROSTATcensus"
2001,"Austria","m","2a","From 25 to 29 years",39239,0.0844218013455336,"EUROSTATcensus"
2001,"Austria","m","2a","From 30 to 34 years",51978,0.0881178702389853,"EUROSTATcensus"
2001,"Austria","m","2a","From 35 to 39 years",57849,0.0915593048653097,"EUROSTATcensus"
2001,"Austria","m","2a","From 40 to 44 years",53631,0.0961339217535017,"EUROSTATcensus"
2001,"Austria","m","2a","From 45 to 49 years",53601,0.117374880930222,"EUROSTATcensus"
