"sex","geo","time","edu","prevnew"
"F","DK",2007,"ED0-2",0.207943840250246
"F","DK",2007,"ED3_4",0.543556541665151
"F","DK",2007,"ED5-8",0.248499618084603
"F","DK",2008,"ED0-2",0.232395674631192
"F","DK",2008,"ED3_4",0.615770502768385
"F","DK",2008,"ED5-8",0.151833822600424
"F","DK",2009,"ED0-2",0.202644799054374
"F","DK",2009,"ED3_4",0.517656619385343
"F","DK",2009,"ED5-8",0.279698581560284
"F","DK",2010,"ED0-2",0.197026431718062
"F","DK",2010,"ED3_4",0.499155653450808
"F","DK",2010,"ED5-8",0.303817914831131
"F","DK",2011,"ED0-2",0.199907680289742
"F","DK",2011,"ED3_4",0.477932038490218
"F","DK",2011,"ED5-8",0.32216028122004
"F","DK",2012,"ED0-2",0.196981842261179
"F","DK",2012,"ED3_4",0.461436587320949
"F","DK",2012,"ED5-8",0.341581570417872
"F","DK",2013,"ED0-2",0.193346474392226
"F","DK",2013,"ED3_4",0.451257046028288
"F","DK",2013,"ED5-8",0.355396479579486
"F","DK",2014,"ED0-2",0.187625737937403
"F","DK",2014,"ED3_4",0.4410144784143
"F","DK",2014,"ED5-8",0.371359783648297
"F","DK",2015,"ED0-2",0.176062336351304
"F","DK",2015,"ED3_4",0.431559355184706
"F","DK",2015,"ED5-8",0.392378308463989
"F","DK",2016,"ED0-2",0.167327493468572
"F","DK",2016,"ED3_4",0.430797602581835
"F","DK",2016,"ED5-8",0.401874903949593
"F","DK",2017,"ED0-2",0.157885040530582
"F","DK",2017,"ED3_4",0.429286416113977
"F","DK",2017,"ED5-8",0.412828543355441
"F","DK",2018,"ED0-2",0.160943390712219
"F","DK",2018,"ED3_4",0.441622585264635
"F","DK",2018,"ED5-8",0.397434024023146
"F","DK",2019,"ED0-2",0.159555063839967
"F","DK",2019,"ED3_4",0.458391890679664
"F","DK",2019,"ED5-8",0.38205304548037
"F","DK",2020,"ED0-2",0.159826417449017
"F","DK",2020,"ED3_4",0.45105936409791
"F","DK",2020,"ED5-8",0.389114218453073
"F","EE",2015,"ED0-2",0.128402243922709
"F","EE",2015,"ED3_4",0.459484728859339
"F","EE",2015,"ED5-8",0.412113027217951
"F","EE",2016,"ED0-2",0.127337887781386
"F","EE",2016,"ED3_4",0.464553701422332
"F","EE",2016,"ED5-8",0.408108410796282
"F","EE",2017,"ED0-2",0.125218041365562
"F","EE",2017,"ED3_4",0.462247694991278
"F","EE",2017,"ED5-8",0.41253426364316
"F","EE",2018,"ED0-2",0.120460584588131
"F","EE",2018,"ED3_4",0.477160571934708
"F","EE",2018,"ED5-8",0.402378843477161
"F","EE",2019,"ED0-2",0.128250073035349
"F","EE",2019,"ED3_4",0.461875547765118
"F","EE",2019,"ED5-8",0.409874379199533
"F","EE",2020,"ED0-2",0.132582582582583
