"year","sex","edu","age","n","alln","prev","source"
"1981","f","0","25-29",13738,72645,0.189111432307798,"IPUMS"
"1981","f","0","30-34",19432,69891,0.278032937001903,"IPUMS"
"1981","f","0","35-39",53643,119151,0.450210237429816,"IPUMS"
"1981","f","0","40-44",25121,56793,0.442325638723082,"IPUMS"
"1981","f","0","45-49",31815,64340,0.494482437053155,"IPUMS"
"1981","f","0","50-54",32496,62323,0.521412640598174,"IPUMS"
"1981","f","0","60-64",27622,45976,0.600791717417783,"IPUMS"
"1981","f","0","65-69",32995,50767,0.649930072685012,"IPUMS"
"1981","f","1","25-29",43233,72645,0.595126987404501,"IPUMS"
"1981","f","1","30-34",40198,69891,0.575152737834628,"IPUMS"
"1981","f","1","35-39",56736,119151,0.476168894931641,"IPUMS"
"1981","f","1","40-44",27562,56793,0.485306287746729,"IPUMS"
"1981","f","1","45-49",28845,64340,0.448321417469692,"IPUMS"
"1981","f","1","50-54",26694,62323,0.428316993726233,"IPUMS"
"1981","f","1","60-64",16625,45976,0.361601705237515,"IPUMS"
"1981","f","1","65-69",15932,50767,0.313825910532432,"IPUMS"
"1981","f","2","25-29",12454,72645,0.171436437469888,"IPUMS"
"1981","f","2","30-34",8220,69891,0.117611709662188,"IPUMS"
"1981","f","2","35-39",7199,119151,0.0604191320257488,"IPUMS"
"1981","f","2","40-44",3381,56793,0.0595319845755639,"IPUMS"
"1981","f","2","45-49",3110,64340,0.0483369599005284,"IPUMS"
"1981","f","2","50-54",2663,62323,0.0427290085522199,"IPUMS"
"1981","f","2","60-64",1465,45976,0.0318644510179224,"IPUMS"
"1981","f","2","65-69",1551,50767,0.0305513424074694,"IPUMS"
"1981","f","3","25-29",3220,72645,0.0443251428178126,"IPUMS"
"1981","f","3","30-34",2041,69891,0.0292026155012806,"IPUMS"
"1981","f","3","35-39",1573,119151,0.0132017356127938,"IPUMS"
"1981","f","3","40-44",729,56793,0.0128360889546247,"IPUMS"
"1981","f","3","45-49",570,64340,0.00885918557662418,"IPUMS"
"1981","f","3","50-54",470,62323,0.00754135712337339,"IPUMS"
"1981","f","3","60-64",264,45976,0.00574212632677919,"IPUMS"
"1981","f","3","65-69",289,50767,0.00569267437508618,"IPUMS"
"1981","m","0","25-29",11217,73225,0.153185387504268,"IPUMS"
"1981","m","0","30-34",15631,70369,0.222129062513323,"IPUMS"
"1981","m","0","35-39",44681,115890,0.385546639054276,"IPUMS"
"1981","m","0","40-44",21869,56530,0.386856536352379,"IPUMS"
"1981","m","0","45-49",27962,64665,0.432413206525941,"IPUMS"
"1981","m","0","50-54",28506,60621,0.47023308754392,"IPUMS"
"1981","m","0","60-64",20064,38735,0.517981153995095,"IPUMS"
"1981","m","0","65-69",21792,38681,0.563377368734004,"IPUMS"
"1981","m","1","25-29",40805,73225,0.557255035848412,"IPUMS"
"1981","m","1","30-34",37684,70369,0.535519902229675,"IPUMS"
"1981","m","1","35-39",54397,115890,0.469384761411684,"IPUMS"
"1981","m","1","40-44",26503,56530,0.468830709357863,"IPUMS"
"1981","m","1","45-49",29154,64665,0.450846671305962,"IPUMS"
"1981","m","1","50-54",25875,60621,0.42683228584154,"IPUMS"
"1981","m","1","60-64",15247,38735,0.393623338066348,"IPUMS"
