"year","sex","edu","age","n","alln","prev","source","country"
"1990","f","1","25-29",60245,510840,0.117933208049487,"IPUMS","US"
"1990","f","1","30-34",60801,542553,0.112064627787516,"IPUMS","US"
"1990","f","1","35-39",128668,790704,0.162725874663591,"IPUMS","US"
"1990","f","1","40-44",54524,451241,0.120831218794391,"IPUMS","US"
"1990","f","1","45-49",59553,362181,0.164428835306104,"IPUMS","US"
"1990","f","1","50-54",63535,300641,0.211331787746848,"IPUMS","US"
"1990","f","1","60-64",88958,297160,0.299360613810742,"IPUMS","US"
"1990","f","1","65-69",119244,348376,0.342285346866604,"IPUMS","US"
"1990","f","2","25-29",342593,510840,0.670646386344061,"IPUMS","US"
"1990","f","2","30-34",363808,542553,0.670548315095484,"IPUMS","US"
"1990","f","2","35-39",505489,790704,0.639289797446326,"IPUMS","US"
"1990","f","2","40-44",291583,451241,0.64618020082395,"IPUMS","US"
"1990","f","2","45-49",233676,362181,0.645191216546423,"IPUMS","US"
"1990","f","2","50-54",191977,300641,0.638558945719313,"IPUMS","US"
"1990","f","2","60-64",176332,297160,0.593390765917351,"IPUMS","US"
"1990","f","2","65-69",198748,348376,0.570498541805406,"IPUMS","US"
"1990","f","3","25-29",108002,510840,0.211420405606452,"IPUMS","US"
"1990","f","3","30-34",117944,542553,0.217387057117001,"IPUMS","US"
"1990","f","3","35-39",156547,790704,0.197984327890083,"IPUMS","US"
"1990","f","3","40-44",105134,451241,0.232988580381659,"IPUMS","US"
"1990","f","3","45-49",68952,362181,0.190379948147473,"IPUMS","US"
"1990","f","3","50-54",45129,300641,0.150109266533839,"IPUMS","US"
"1990","f","3","60-64",31870,297160,0.107248620271907,"IPUMS","US"
"1990","f","3","65-69",30384,348376,0.0872161113279905,"IPUMS","US"
"1990","m","1","25-29",70150,498833,0.140628226280138,"IPUMS","US"
"1990","m","1","30-34",68080,524278,0.129854771705088,"IPUMS","US"
"1990","m","1","35-39",124215,746698,0.166352394140603,"IPUMS","US"
"1990","m","1","40-44",53542,433806,0.123423834617317,"IPUMS","US"
"1990","m","1","45-49",58097,344119,0.168828225119799,"IPUMS","US"
"1990","m","1","50-54",60209,280777,0.214437079960253,"IPUMS","US"
"1990","m","1","60-64",84787,259079,0.327263112795711,"IPUMS","US"
"1990","m","1","65-69",99574,279987,0.355637940332944,"IPUMS","US"
"1990","m","2","25-29",326637,498833,0.654802308588245,"IPUMS","US"
"1990","m","2","30-34",336259,524278,0.641375377185386,"IPUMS","US"
"1990","m","2","35-39",434802,746698,0.582299671353077,"IPUMS","US"
"1990","m","2","40-44",246603,433806,0.568463783350161,"IPUMS","US"
"1990","m","2","45-49",192958,344119,0.560730444991413,"IPUMS","US"
"1990","m","2","50-54",156359,280777,0.556879658946424,"IPUMS","US"
"1990","m","2","60-64",125655,259079,0.485006503807719,"IPUMS","US"
"1990","m","2","65-69",135873,279987,0.485283245293532,"IPUMS","US"
"1990","m","3","25-29",102046,498833,0.204569465131617,"IPUMS","US"
"1990","m","3","30-34",119939,524278,0.228769851109526,"IPUMS","US"
"1990","m","3","35-39",187681,746698,0.25134793450632,"IPUMS","US"
"1990","m","3","40-44",133661,433806,0.308112382032521,"IPUMS","US"
"1990","m","3","45-49",93064,344119,0.270441329888788,"IPUMS","US"
"1990","m","3","50-54",64209,280777,0.228683261093323,"IPUMS","US"
"1990","m","3","60-64",48637,259079,0.18773038339657,"IPUMS","US"
"1990","m","3","65-69",44540,279987,0.159078814373524,"IPUMS","US"
"2000","f","1","25-29",50784,456275,0.111301298558983,"IPUMS","US"
"2000","f","1","30-34",52888,496148,0.106597225021566,"IPUMS","US"
"2000","f","1","35-39",116149,927013,0.125293820043516,"IPUMS","US"
"2000","f","1","40-44",57422,566050,0.1014433353944,"IPUMS","US"
"2000","f","1","45-49",52093,514242,0.101300554991619,"IPUMS","US"
"2000","f","1","50-54",54005,456572,0.118283644200696,"IPUMS","US"
"2000","f","1","60-64",60843,297122,0.204774469746434,"IPUMS","US"
"2000","f","1","65-69",81378,321580,0.253056782138193,"IPUMS","US"
"2000","f","2","25-29",277636,456275,0.608483918689387,"IPUMS","US"
"2000","f","2","30-34",306018,496148,0.616787732692664,"IPUMS","US"
"2000","f","2","35-39",596650,927013,0.643626356911931,"IPUMS","US"
"2000","f","2","40-44",368647,566050,0.651262255984454,"IPUMS","US"
"2000","f","2","45-49",325732,514242,0.63342161861536,"IPUMS","US"
"2000","f","2","50-54",288960,456572,0.632890321789334,"IPUMS","US"
"2000","f","2","60-64",189481,297122,0.637721205430766,"IPUMS","US"
"2000","f","2","65-69",198192,321580,0.616306984265191,"IPUMS","US"
"2000","f","3","25-29",127855,456275,0.28021478275163,"IPUMS","US"
"2000","f","3","30-34",137242,496148,0.27661504228577,"IPUMS","US"
"2000","f","3","35-39",214214,927013,0.231079823044553,"IPUMS","US"
"2000","f","3","40-44",139981,566050,0.247294408621147,"IPUMS","US"
"2000","f","3","45-49",136417,514242,0.265277826393021,"IPUMS","US"
"2000","f","3","50-54",113607,456572,0.24882603400997,"IPUMS","US"
"2000","f","3","60-64",46798,297122,0.1575043248228,"IPUMS","US"
"2000","f","3","65-69",42010,321580,0.130636233596617,"IPUMS","US"
"2000","m","1","25-29",65966,452821,0.1456778727135,"IPUMS","US"
"2000","m","1","30-34",66390,490398,0.135379834338639,"IPUMS","US"
"2000","m","1","35-39",128204,886169,0.144672178783054,"IPUMS","US"
"2000","m","1","40-44",68393,549878,0.124378498503304,"IPUMS","US"
"2000","m","1","45-49",56861,496270,0.114576742499043,"IPUMS","US"
"2000","m","1","50-54",53168,435571,0.12206505942774,"IPUMS","US"
"2000","m","1","60-64",55469,269586,0.20575623363231,"IPUMS","US"
"2000","m","1","65-69",72219,278369,0.259436215957955,"IPUMS","US"
"2000","m","2","25-29",282387,452821,0.623617279233958,"IPUMS","US"
"2000","m","2","30-34",300417,490398,0.612598338492408,"IPUMS","US"
"2000","m","2","35-39",534593,886169,0.603263034477622,"IPUMS","US"
"2000","m","2","40-44",347339,549878,0.631665569453588,"IPUMS","US"
